Country,Type,Total Population (Thousands),Total Population,Male Population (Thousands),Male Population,Female Population (Thousands),Female Population,"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years)
Cambodia,South-Eastern Asia,16589,16589000,8212,8212000,8377,8377000,69.6,66.8,72.3
Cameroon,Middle Africa,27199,27199000,13564,13564000,13634,13634000,60.3,58.7,62
Canada,North America,38155,38155000,18960,18960000,19195,19195000,82.7,80.6,84.7
Cayman Islands,Caribbean,68,68000,34,34000,34,34000,75.1,72.8,77.8
Central African Republic,Middle Africa,5457,5457000,2728,2728000,2729,2729000,53.9,51.6,56.3
Chad,Middle Africa,17180,17180000,8624,8624000,8556,8556000,52.5,50.8,54.3
Chile,South America,19493,19493000,9675,9675000,9818,9818000,78.9,76.5,81.4
China,Eastern Asia,1425893,1425893000,728050,728050000,697843,697843000,78.2,75.5,81.2
"China, Hong Kong SAR",Eastern Asia,7495,7495000,3457,3457000,4038,4038000,85.5,82.7,88.3
"China, Macao SAR",Eastern Asia,687,687000,322,322000,364,364000,85.4,82.8,87.9
"China, Taiwan Province of China",Eastern Asia,23860,23860000,11821,11821000,12039,12039000,81,77.8,84.4
Colombia,South America,51517,51517000,25415,25415000,26101,26101000,72.8,69.4,76.4
Comoros,Eastern Africa,822,822000,413,413000,409,409000,63.4,61.2,65.8
Congo,Middle Africa,5836,5836000,2914,2914000,2921,2921000,63.5,62.1,64.9
Cook Islands,Polynesia,17,17000,8,8000,9,9000,74.8,71,78.8
Costa Rica,Central America,5154,5154000,2579,2579000,2575,2575000,77,74.4,79.8
Côte d'Ivoire,Western Africa,27478,27478000,13878,13878000,13601,13601000,58.6,57.4,59.9
Croatia,Southern Europe,4060,4060000,1977,1977000,2083,2083000,77.6,74.2,81.1
Cuba,Caribbean,11256,11256000,5589,5589000,5667,5667000,73.7,71.2,76.4
Curaçao,Caribbean,190,190000,91,91000,99,99000,75.4,71.5,79.1
Cyprus,Western Asia,1244,1244000,623,623000,621,621000,81.2,79.2,83.2
Czechia,Eastern Europe,10511,10511000,5176,5176000,5334,5334000,77.7,74.7,80.9
Dem. People's Republic of Korea,Eastern Asia,25972,25972000,12844,12844000,13128,13128000,73.3,70.8,75.7
Democratic Republic of the Congo,Middle Africa,95894,95894000,47575,47575000,48319,48319000,59.2,57,61.5
Denmark,Northern Europe,5854,5854000,2912,2912000,2942,2942000,81.4,79.5,83.3
Djibouti,Eastern Africa,1106,1106000,549,549000,557,557000,62.3,59.7,65
Dominica,Caribbean,72,72000,36,36000,36,36000,72.8,69.7,76.3
Dominican Republic,Caribbean,11118,11118000,5582,5582000,5536,5536000,72.6,69.3,76.3
